eventID	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	locality	higherGeography	higherGeographyID	continent	countryCode	geodeticDatum	eventDate	verbatimEventDate	eventRemarks	samplingProtocol
1958/59-CS	-62.47	-60.77	2100	Cape Shirreff, Livingston Island	Antarctica | South Shetland Islands | Cape Shirreff, Livingston Island	https://data.aad.gov.au/aadc/gaz/scar/display_name.cfm?gaz_id=131551	Antarctica	AQ	EPSG:4326	1959-01	late January 1959		O'Gorman, F. (1961). Fur seals breeding in the Falkland Islands Dependencies. Nature, 192, 914-916. https://doi.org/10.1038/192914a0
1965/66-CS	-62.47	-60.77	2100	Cape Shirreff, Livingston Island	Antarctica | South Shetland Islands | Cape Shirreff, Livingston Island	https://data.aad.gov.au/aadc/gaz/scar/display_name.cfm?gaz_id=131551	Antarctica	AQ	EPSG:4326	1966-01	late January 1966		Aguayo, L. A. (1978). The present status of the Antarctic Fur Seal Arctocephalus gazella at South Shetland Islands. Polar Record, 19(119), 167-173. https://doi.org/doi:10.1017/S003224740000190X
1970/71-CS	-62.47	-60.77	2100	Cape Shirreff, Livingston Island	Antarctica | South Shetland Islands | Cape Shirreff, Livingston Island	https://data.aad.gov.au/aadc/gaz/scar/display_name.cfm?gaz_id=131551	Antarctica	AQ	EPSG:4326	1971-02	mid February 1971		Laws, R. M. (1973). Population increase of Fur Seals at South Georgia. Polar Record, 16(105), 856-858. https://doi.org/10.1017/S003224740006397X
1972/73-CS	-62.47	-60.77	2100	Cape Shirreff, Livingston Island	Antarctica | South Shetland Islands | Cape Shirreff, Livingston Island	https://data.aad.gov.au/aadc/gaz/scar/display_name.cfm?gaz_id=131551	Antarctica	AQ	EPSG:4326	1973-02	mid February 1973		Aguayo, L. A. (1978). The present status of the Antarctic Fur Seal Arctocephalus gazella at South Shetland Islands. Polar Record, 19(119), 167-173. https://doi.org/doi:10.1017/S003224740000190X
1972/73-STI	-62.47	-60.83	1000	San Telmo Island	Antarctica | South Shetland Islands | San Telmo Islands	https://data.aad.gov.au/aadc/gaz/scar/display_name.cfm?gaz_id=131166	Antarctica	AQ	EPSG:4326	1973-02	mid February 1973		Aguayo, L. A. (1978). The present status of the Antarctic Fur Seal Arctocephalus gazella at South Shetland Islands. Polar Record, 19(119), 167-173. https://doi.org/doi:10.1017/S003224740000190X
1986/87-CS	-62.47	-60.77	2100	Cape Shirreff, Livingston Island	Antarctica | South Shetland Islands | Cape Shirreff, Livingston Island	https://data.aad.gov.au/aadc/gaz/scar/display_name.cfm?gaz_id=131551	Antarctica	AQ	EPSG:4326	1987-02	early February 1987		Bengtson, J. L., Ferm, L. M., Härkönen, T. J., & Stewart, B. S. (1990). Abundance of Antarctic Fur Seals in the South Shetland Islands, Antarctica, During the 1986/87 Austral Summer. In Kerry K.R. & H. G. (Eds.), Antarctic Ecosystems (pp. 265-270). Springer. https://doi.org/10.1007/978-3-642-84074-6_30
1986/87-SSI	-62	-58	275000	South Shetland Islands	Antarctica | South Shetland Islands	https://data.aad.gov.au/aadc/gaz/scar/display_name.cfm?gaz_id=131934	Antarctica	AQ	EPSG:4326	1987-02	early February 1987		Bengtson, J. L., Ferm, L. M., Härkönen, T. J., & Stewart, B. S. (1990). Abundance of Antarctic Fur Seals in the South Shetland Islands, Antarctica, During the 1986/87 Austral Summer. In Kerry K.R. & H. G. (Eds.), Antarctic Ecosystems (pp. 265-270). Springer. https://doi.org/10.1007/978-3-642-84074-6_30
1986/87-STI	-62.47	-60.83	1000	San Telmo Island	Antarctica | South Shetland Islands | San Telmo Islands	https://data.aad.gov.au/aadc/gaz/scar/display_name.cfm?gaz_id=131166	Antarctica	AQ	EPSG:4326	1987-02	early February 1987		Bengtson, J. L., Ferm, L. M., Härkönen, T. J., & Stewart, B. S. (1990). Abundance of Antarctic Fur Seals in the South Shetland Islands, Antarctica, During the 1986/87 Austral Summer. In Kerry K.R. & H. G. (Eds.), Antarctic Ecosystems (pp. 265-270). Springer. https://doi.org/10.1007/978-3-642-84074-6_30
1991/92-CS	-62.47	-60.77	2100	Cape Shirreff, Livingston Island	Antarctica | South Shetland Islands | Cape Shirreff, Livingston Island	https://data.aad.gov.au/aadc/gaz/scar/display_name.cfm?gaz_id=131551	Antarctica	AQ	EPSG:4326	1992-01	January 1992	census date assumed	Aguayo, L., & Torres, D. (1993). Análisis de los censos de Arctocephalus gazella efectuados en el Sitio de Especial Interés Científico Nº 32, isla Livingston, Antártica. Serie científica INACH, 43, 87-91. http://hdl.handle.net/20.500.11894/758
1991/92-SSI	-62	-58	275000	South Shetland Islands	Antarctica | South Shetland Islands	https://data.aad.gov.au/aadc/gaz/scar/display_name.cfm?gaz_id=131934	Antarctica	AQ	EPSG:4326	1992-02	late February 1992		Croll, D., Bengtson, J., Holt, R. S., & Torres, D. (1992). AMLR 1991/92 Field Season Report. Census of Antarctic fur seal colonies of the South Shetland Islands, 1991-92. U.S. Department of Commerce, NOAA Administrative Report LJ-92-17, 82-85.
